titulo,titulo_abreviado,link,precio_actual,precio_sin_descuento,criticas,calificacion,AmazonChoice,Date,porcentaje_de_descuento
(Free $30 Airtime Activation Promotion) Simple Mobile Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - GSM,(Free $30 Airtime Ac,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02640421AL5ROXXYREK&url=%2FSimple-Mobile-Samsung-Prepaid-Smartphone%2Fdp%2FB07Y5TGZSK%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939336%26sr%3D8-1-spons%26psc%3D1&qualifier=1617939336&id=4960765834120632&widgetName=sp_atf,82.98,82.98,153.0,0.0,False,8/4/2021,0.0
Xiaomi Redmi Note 9 4GB RAM + 128GB  48MP Quad Camera Hotshot  5020mah Battery  6.53 ”FHD +  LTE Factory Unlocked Smartphone - International Version (Polar White),Xiaomi Redmi Note 9 ,/Xiaomi-Note-Hotshot-Unlocked-Smartphone/dp/B088HJ2KKR/ref=sr_1_28?dchild=1&keywords=smartphone&qid=1617939343&sr=8-28,194.99,194.99,0.0,4.5,False,8/4/2021,0.0
"Ulefone Armor 7E Rugged Smartphone Unlocked  IP68 Waterproof Cell Phones Helio P90 Android 10 4GB + 128GB  48MP+2MP+2MP Triple Camera  5500mAh Battery QI Wireless Charge  6.3"" FHD+  Global Bands  NFC",Ulefone Armor 7E Rug,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0274480OLGK1G2RIZ71&url=%2FUlefone-Armor-7E-Smartphone-Waterproof%2Fdp%2FB087M26N2K%2Fref%3Dsr_1_32_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1617939343%26sr%3D8-32-spons%26psc%3D1&qualifier=1617939343&id=3590493639467380&widgetName=sp_mtf,359.99,359.99,146.0,0.0,True,8/4/2021,0.0
Nokia 2.4 Android 10 Unlocked Smartphone with 2/32 GB Memory  6.5-Inch HD+ Screen  2-Day Battery Life  Fingerprint Sensor and Google Assistant  Charcoal (AT&T/T-Mobile/Cricket/Tracfone/Simple Mobile),Nokia 2.4 Android 10,/Nokia-Unlocked-Smartphone-Fingerprint-Assistant/dp/B08JRF9L15/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1617939336&sr=8-17,139.99,139.99,270.0,3.9,False,8/4/2021,0.0
Samsung Electronics Samsung Galaxy S21 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera  8K Video  64MP High Res | 128GB  Phantom Gray (SM-G991UZAAXAA),Samsung Electronics ,/Samsung-Electronics-Smartphone-Pro-Grade-SM-G991UZAAXAA/dp/B08N2FRMPN/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1617939336&sr=8-3,799.99,799.99,116.0,4.5,False,8/4/2021,0.0
BLU Studio Mini -5.5HD Smartphone  32GB+2GB Ram -Black,BLU Studio Mini -5.5,/BLU-Studio-5-5HD-Smartphone-Black/dp/B07SSCJHT1/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1617939336&sr=8-5,69.99,69.99,0.0,4.0,False,8/4/2021,0.0
OnePlus Nord N10 5G Unlocked Smartphone  Midnight Ice​  90Hz Refresh Rate  6GB RAM + 128GB storage  US Version  Model BE2026,OnePlus Nord N10 5G ,/OnePlus-Unlocked-Smartphone-Midnight-BE2026/dp/B08R7D4KZJ/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1617939336&sr=8-6,299.99,299.99,147.0,4.2,False,8/4/2021,0.0
Xiaomi POCO M3 Smartphone  4 GB + 64 GB  6.53 Pollici FHD + Ampio 1080P FHD + Display 52 MP  Tripla Fotocamera  6000 mAh Batteria  Doppi Altoparlanti  Jack per Cuffie da 3.5 mm  Giallo,Xiaomi POCO M3 Smart,/Xiaomi-M3-Smartphone-Fotocamera-Altoparlanti/dp/B08P4PBSK2/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1617939336&sr=8-7,159.5,159.5,251.0,4.4,False,8/4/2021,0.0
Samsung Galaxy A10e Sprint/Boost Mobile 32GB Android Smartphone - Black (Renewed),Samsung Galaxy A10e ,/Samsung-Galaxy-Sprint-Android-Smartphone/dp/B086H4T5YC/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1617939336&sr=8-8,134.99,134.99,5.0,4.7,False,8/4/2021,0.0
"LG G8 ThinQ LMG820TM (128GB  6GB RAM) 6.1"" 4G LTE Android Smartphone (Aurora Black  GSM Unlocked)",LG G8 ThinQ LMG820TM,/LG-LMG820TM-Android-Smartphone-Unlocked/dp/B08R6GQKDR/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1617939336&sr=8-9,349.0,349.0,223.0,4.3,False,8/4/2021,0.0
Blackview BL6000 Pro 5G Rugged Smartphones Unlocked  8GB + 256GB Waterproof Phones  6.36 inch FHD Smartphone  48MP Triple Camera  5280mAh 18W Fast Charging  NFC GPS  Global Version,Blackview BL6000 Pro,/Blackview-BL6000-Pro-Smartphones-Waterproof/dp/B08SMBFKMW/ref=sr_1_10?dchild=1&keywords=smartphone&qid=1617939336&sr=8-10,599.99,599.99,5.0,3.1,False,8/4/2021,0.0
